Marker,Jour,Mois,Année,Plongeur,Début - lat.,Début - long.,Fin - lat.,Fin - long.,Depth,Site,Transect,section,sexe,LC,Escape,Sa,Va,Du,Al,Gr,Ca,type,commentaire,fond,,,,,,,
115,6,8,2004,Rfrigo,4749.463,6509.984,4749.444,6510.053,23,GA1,GA3,3,,,,0,0,0,0,1,1,Simple,,,,,,,,,
116,6,8,2004,Rfrigo,4749.463,6509.984,4749.444,6510.053,23,GA1,GA3,4,,,,0,0,0,0,1,1,Simple,,,,,,,,,
119,6,8,2004,Rfrigo,4749.463,6509.984,4749.444,6510.053,23,GA1,GA3,7,f,56,,0,0,0,0,1,1,Simple,,,,,,,,,
122,6,8,2004,Rfrigo,4749.463,6509.984,4749.444,6510.053,23,GA1,GA3,10,f,35,,0,0,1,0,1,1,Simple,,,,,,,,,
123,6,8,2004,Rfrigo,4749.463,6509.984,4749.444,6510.053,23,GA1,GA3,10,m,53,,0,0,1,0,1,1,Simple,,,,,,,,,
124,6,8,2004,Rfrigo,4749.463,6509.984,4749.444,6510.053,23,GA1,GA3,10,f,33,,0,0,1,0,1,1,Simple,,,,,,,,,
125,6,8,2004,Rfrigo,4749.463,6509.984,4749.444,6510.053,23,GA1,GA3,11,,,,0,0,0,0,1,1,Simple,,,,,,,,,
126,6,8,2004,Rfrigo,4749.463,6509.984,4749.444,6510.053,23,GA1,GA3,12,,,,0,0,0,0,1,1,Simple,,,,,,,,,
127,6,8,2004,Rfrigo,4749.463,6509.984,4749.444,6510.053,23,GA1,GA3,13,,,,0,0,0,0,1,1,Simple,,,,,,,,,
128,6,8,2004,Rfrigo,4749.463,6509.984,4749.444,6510.053,23,GA1,GA3,14,m,55,,0,0,0,0,1,1,Simple,,,,,,,,,
129,6,8,2004,Rfrigo,4749.463,6509.984,4749.444,6510.053,23,GA1,GA3,15,f,14,,0,0,0,0,1,1,Simple,,,,,,,,,
130,6,8,2004,Rfrigo,4749.463,6509.984,4749.444,6510.053,23,GA1,GA3,16,,,,0,0,0,0,1,1,Simple,,,,,,,,,
131,6,8,2004,Rfrigo,4749.463,6509.984,4749.444,6510.053,23,GA1,GA3,17,,,,0,0,0,0,1,1,Simple,,,,,,,,,
132,6,8,2004,Rfrigo,4749.463,6509.984,4749.444,6510.053,23,GA1,GA3,18,,,,0,0,0,0,1,1,Simple,,,,,,,,,
133,6,8,2004,Rfrigo,4749.463,6509.984,4749.444,6510.053,23,GA1,GA3,19,,,,0,0,0,0,1,1,Simple,,,,,,,,,
135,6,8,2004,Elandry,4749.446,6509.997,4749.429,6510.078,23,GA1,GA4,1,f,24,,0,0,0,0,1,0,Simple,,,,,,,,,
136,6,8,2004,Elandry,4749.446,6509.997,4749.429,6510.078,23,GA1,GA4,2,m,37,,0,0,0,0,1,0,Simple,,,,,,,,,
