Marker,Jour,Mois,Année,Plongeur,Début - lat.,Début - long.,Fin - lat.,Fin - long.,Depth,Site,Transect,section,sexe,LC,Escape,Sa,Va,Du,Al,Gr,Co,Ca,type,commentaire,,
146,21,7,2010,Rvienneau,,,,,19,GA1,GA2,18,f,33,,,,,,,,,,,,
147,21,7,2010,Rvienneau,,,,,19,GA1,GA2,18,m,24,,,,,,,,,,,,
148,21,7,2010,Rvienneau,,,,,19,GA1,GA2,18,m,18,,,,,,,,,,,,
149,21,7,2010,Rvienneau,,,,,19,GA1,GA2,18,m,27,,,,,,,,,,,,
150,21,7,2010,Rvienneau,,,,,19,GA1,GA2,18,m,55,,,,,,,,,,,,
151,21,7,2010,Rvienneau,,,,,19,GA1,GA2,19,m,18,,,,,,,,,,,,
152,21,7,2010,Rvienneau,,,,,19,GA1,GA2,19,m,41,,,,,,,,,,,,
153,21,7,2010,Rvienneau,,,,,19,GA1,GA2,19,f,37,,,,,,,,,,,,
154,21,7,2010,Rvienneau,,,,,19,GA1,GA2,19,m,39,,,,,,,,,,,,
155,21,7,2010,Rvienneau,,,,,19,GA1,GA2,19,f,63,,,,,,,,,,,,
156,21,7,2010,Rvienneau,,,,,19,GA1,GA2,19,f,68,,,,,,,,,,,,
157,21,7,2010,Rvienneau,,,,,19,GA1,GA2,20,f,24,,,,,,,,,,,,
158,21,7,2010,Rvienneau,,,,,19,GA1,GA2,20,f,33,,,,,,,,,,,,
159,21,7,2010,Dgiard,,,,,19,GA1,GA2,1,m,41,,,,,,,,,,,,
160,21,7,2010,Dgiard,,,,,19,GA1,GA2,1,f,65,,,,,,,,,,,,
161,21,7,2010,Dgiard,,,,,19,GA1,GA2,11,m,56,,,,,,,,,,,,
162,21,7,2010,Dgiard,,,,,19,GA1,GA2,11,m,51,,,,,,,,,,,,
163,21,7,2010,Dgiard,,,,,19,GA1,GA2,11,f,49,,,,,,,,,,,,
164,21,7,2010,Dgiard,,,,,19,GA1,GA2,11,m,55,,,,,,,,,,,,
165,21,7,2010,Dgiard,,,,,19,GA1,GA2,11,f,39,,,,,,,,,,,,
166,21,7,2010,Dgiard,,,,,19,GA1,GA2,11,f,37,,,,,,,,,,,,
167,21,7,2010,Dgiard,,,,,19,GA1,GA2,11,m,24,,,,,,,,,,,,
168,21,7,2010,Dgiard,,,,,19,GA1,GA2,11,m,35,,,,,,,,,,,,
169,21,7,2010,Dgiard,,,,,19,GA1,GA2,11,m,19,,,,,,,,,,,,
170,21,7,2010,Dgiard,,,,,19,GA1,GA2,11,m,68,,,,,,,,,,,,
171,21,7,2010,Dgiard,,,,,19,GA1,GA2,12,f,32,,,,,,,,,,,,
172,21,7,2010,Dgiard,,,,,19,GA1,GA2,12,m,39,,,,,,,,,,,,
173,21,7,2010,Dgiard,,,,,19,GA1,GA2,12,m,47,,,,,,,,,,,,
174,21,7,2010,Dgiard,,,,,19,GA1,GA2,12,m,18,,,,,,,,,,,,
175,21,7,2010,Dgiard,,,,,19,GA1,GA2,12,f,70,,,,,,,,,,,,
176,21,7,2010,Dgiard,,,,,19,GA1,GA2,12,m,30,,,,,,,,,,,,
177,21,7,2010,Dgiard,,,,,19,GA1,GA2,12,m,60,,,,,,,,,,,,
178,21,7,2010,Dgiard,,,,,19,GA1,GA2,12,m,25,,,,,,,,,,,,
179,21,7,2010,Dgiard,,,,,19,GA1,GA2,13,f,44,,,,,,,,,,,,
180,21,7,2010,Dgiard,,,,,19,GA1,GA2,13,m,53,,,,,,,,,,,,
181,21,7,2010,Dgiard,,,,,19,GA1,GA2,13,m,16,,,,,,,,,,,,
182,21,7,2010,Dgiard,,,,,19,GA1,GA2,14,f,70,,,,,,,,,,,,
183,21,7,2010,Dgiard,,,,,19,GA1,GA2,14,m,49,,,,,,,,,,,,
184,21,7,2010,Dgiard,,,,,19,GA1,GA2,14,f,35,,,,,,,,,,,,
185,21,7,2010,Dgiard,,,,,19,GA1,GA2,14,m,51,,,,,,,,,,,,
186,21,7,2010,Dgiard,,,,,19,GA1,GA2,15,f,45,,,,,,,,,,,,
187,21,7,2010,Dgiard,,,,,19,GA1,GA2,15,m,39,,,,,,,,,,,,
188,21,7,2010,Dgiard,,,,,19,GA1,GA2,15,f,43,,,,,,,,,,,,
189,21,7,2010,Dgiard,,,,,19,GA1,GA2,15,f,50,,,,,,,,,,,,
190,21,7,2010,Dgiard,,,,,19,GA1,GA2,15,m,27,,,,,,,,,,,,
191,21,7,2010,Dgiard,,,,,19,GA1,GA2,15,m,22,,,,,,,,,,,,
192,21,7,2010,Dgiard,,,,,19,GA1,GA2,16,m,26,,,,,,,,,,,,
193,21,7,2010,Dgiard,,,,,19,GA1,GA2,16,f,45,,,,,,,,,,,,
194,21,7,2010,Dgiard,,,,,19,GA1,GA2,16,m,34,,,,,,,,,,,,
195,21,7,2010,Dgiard,,,,,19,GA1,GA2,16,m,32,,,,,,,,,,,,
196,21,7,2010,Dgiard,,,,,19,GA1,GA2,16,f,62,,,,,,,,,,,,
197,21,7,2010,Dgiard,,,,,19,GA1,GA2,16,m,41,,,,,,,,,,,,
198,21,7,2010,Dgiard,,,,,19,GA1,GA2,16,m,40,,,,,,,,,,,,
199,21,7,2010,Dgiard,,,,,19,GA1,GA2,16,m,39,,,,,,,,,,,,
200,21,7,2010,Dgiard,,,,,19,GA1,GA2,16,m,29,,,,,,,,,,,,
201,21,7,2010,Dgiard,,,,,19,GA1,GA2,16,m,60,,,,,,,,,,,,
202,21,7,2010,Dgiard,,,,,19,GA1,GA2,17,m,12,,,,,,,,,,,,
203,21,7,2010,Dgiard,,,,,19,GA1,GA2,17,f,65,,,,,,,,,,,,
204,21,7,2010,Dgiard,,,,,19,GA1,GA2,17,m,35,,,,,,,,,,,,
205,21,7,2010,Dgiard,,,,,19,GA1,GA2,17,m,32,,,,,,,,,,,,
206,21,7,2010,Dgiard,,,,,19,GA1,GA2,17,m,21,,,,,,,,,,,,
207,21,7,2010,Dgiard,,,,,19,GA1,GA2,17,m,31,,,,,,,,,,,,
