Marker,Jour,Mois,Année,Plongeur,Début - lat.,Début - long.,Fin - lat.,Fin - long.,Depth,Transect,Trans,section,sexe,LC,Escape,Sa,Va,Du,Al,Gr,Ca,type,commentaire,fond,,Début - lat.,Début - long.,Fin - lat.,Fin - long.
112,21,6,2000,Glandry,4750.51,6503.02,4750.53,6502.95,,AB1,3,9,,,,0,0,1,0,0,1,simple,,dur cailloux simple,,47.84183333,65.05033333,47.84216667,65.04916667
113,21,6,2000,Glandry,4750.51,6503.02,4750.53,6502.95,,AB1,3,10,f,50,,0,0,1,0,0,0,simple,,dur simple,,47.84183333,65.05033333,47.84216667,65.04916667
114,21,6,2000,Glandry,4750.51,6503.02,4750.53,6502.95,,AB1,3,11,,,,0,0,1,0,0,1,simple,,dur cailloux simple,,47.84183333,65.05033333,47.84216667,65.04916667
115,21,6,2000,Glandry,4750.51,6503.02,4750.53,6502.95,,AB1,3,12,m,57,,0,0,1,0,0,1,simple,,dur cailloux simple,,47.84183333,65.05033333,47.84216667,65.04916667
116,21,6,2000,Glandry,4750.51,6503.02,4750.53,6502.95,,AB1,3,12,m,31,,0,0,1,0,0,1,simple,,dur cailloux simple,,47.84183333,65.05033333,47.84216667,65.04916667
120,21,6,2000,Glandry,4750.51,6503.02,4750.53,6502.95,,AB1,3,16,,,,0,0,1,0,0,1,simple,,dur cailloux simple,,47.84183333,65.05033333,47.84216667,65.04916667
121,21,6,2000,Glandry,4750.51,6503.02,4750.53,6502.95,,AB1,3,17,,,,0,0,1,0,0,1,simple,,dur cailloux simple,,47.84183333,65.05033333,47.84216667,65.04916667
125,21,6,2000,Elandry,4750.5,6503.1,4750.5,6503.03,,AB1,4,1,,,,1,0,0,0,0,1,Complexe,,sable vase cailloux complexe,,47.84166667,65.05166667,47.84166667,65.0505
126,21,6,2000,Elandry,4750.5,6503.1,4750.5,6503.03,,AB1,4,2,,,,1,1,0,0,1,0,Complexe,,sable vase gravier complexe,,47.84166667,65.05166667,47.84166667,65.0505
127,21,6,2000,Elandry,4750.5,6503.1,4750.5,6503.03,,AB1,4,3,,,,0,1,1,0,0,1,Complexe,,dur cailloux complexe,,47.84166667,65.05166667,47.84166667,65.0505
128,21,6,2000,Elandry,4750.5,6503.1,4750.5,6503.03,,AB1,4,4,,,,0,0,1,0,0,1,Complexe,,dur cailloux complexe,,47.84166667,65.05166667,47.84166667,65.0505
129,21,6,2000,Elandry,4750.5,6503.1,4750.5,6503.03,,AB1,4,5,,,,0,0,1,0,0,1,Complexe,,dur cailloux complexe,,47.84166667,65.05166667,47.84166667,65.0505
132,21,6,2000,Elandry,4750.5,6503.1,4750.5,6503.03,,AB1,4,8,,,,0,0,1,0,0,1,simple,,dur cailloux simple,,47.84166667,65.05166667,47.84166667,65.0505
133,21,6,2000,Elandry,4750.5,6503.1,4750.5,6503.03,,AB1,4,9,,,,0,0,1,0,0,1,simple,,dur cailloux simple,,47.84166667,65.05166667,47.84166667,65.0505
134,21,6,2000,Elandry,4750.5,6503.1,4750.5,6503.03,,AB1,4,10,,,,0,0,1,1,0,1,simple,,dur algue cailloux simple,,47.84166667,65.05166667,47.84166667,65.0505
138,21,6,2000,Elandry,4750.5,6503.1,4750.5,6503.03,,AB1,4,14,f,62,,0,1,0,0,0,1,Complexe,,vase cailloux complexe,,47.84166667,65.05166667,47.84166667,65.0505
139,21,6,2000,Elandry,4750.5,6503.1,4750.5,6503.03,,AB1,4,15,m,39,,0,1,0,0,0,1,Complexe,,vase cailloux complexe,,47.84166667,65.05166667,47.84166667,65.0505
145,21,6,2000,Glandry,4750.5,6503.1,4750.5,6503.03,,AB1,4,1,,,,1,0,0,0,0,1,Complexe,,sable cailloux complexe,,47.84166667,65.05166667,47.84166667,65.0505
146,21,6,2000,Glandry,4750.5,6503.1,4750.5,6503.03,,AB1,4,2,i,,1,1,0,0,0,1,1,Complexe,,sable gravier complexe,,47.84166667,65.05166667,47.84166667,65.0505
