Marker,Jour,Mois,Année,Plongeur,Début - lat.,Début - long.,Fin - lat.,Fin - long.,Depth,Site,Transect,section,sexe,LC,Escape,Sa,Va,Du,Al,Gr,Co,Ca,type,commentaire,fond,,
157,23,6,2014,Bcomeau,,,,,19,SH,5,5,,,,,,,,,,,,,,,
158,23,6,2014,Bcomeau,,,,,19,SH,5,9,i,19,,,,,,,,,,,,,
159,23,6,2014,Bcomeau,,,,,19,SH,5,11,i,10,,,,,,,,,,,,,
160,23,6,2014,Bcomeau,,,,,19,SH,5,12,,,,,,,,,,,,,,,
161,23,6,2014,Bcomeau,,,,,19,SH,5,13,,,,,,,,,,,,,,,
162,23,6,2014,Bcomeau,,,,,19,SH,5,14,f,43,,,,,,,,,,,,,
163,23,6,2014,Bcomeau,,,,,19,SH,5,14,i,17,,,,,,,,,,,,,
164,23,6,2014,Bcomeau,,,,,19,SH,5,15,i,17,,,,,,,,,,,,,
165,23,6,2014,Bcomeau,,,,,19,SH,5,15,f,20,,,,,,,,,,,,,
166,23,6,2014,Bcomeau,,,,,19,SH,5,16,f,60,,,,,,,,,,,,,
167,23,6,2014,Bcomeau,,,,,19,SH,5,16,i,17,,,,,,,,,,,,,
168,23,6,2014,Bcomeau,,,,,19,SH,5,18,,,,,,,,,,,,,,,
169,23,6,2014,Dgiard,,,,,19,SH,5,2,,,,,,,,,,,,,,,
170,23,6,2014,Dgiard,,,,,19,SH,5,3,m,54,,,,,,,,,,,,,
171,23,6,2014,Dgiard,,,,,19,SH,5,4,,,,,,,,,,,,,,,
172,23,6,2014,Dgiard,,,,,19,SH,5,5,,,,,,,,,,,,,,,
173,23,6,2014,Dgiard,,,,,19,SH,5,7,f,70,,,,,,,,,,,,,
174,23,6,2014,Dgiard,,,,,19,SH,5,9,m,65,,,,,,,,,,,,,
175,23,6,2014,Dgiard,,,,,19,SH,5,10,f,72,,,,,,,,,,,,,
176,23,6,2014,Dgiard,,,,,19,SH,5,11,,,,,,,,,,,,,,,
177,23,6,2014,Dgiard,,,,,19,SH,5,12,m,74,,,,,,,,,,,,,
178,23,6,2014,Dgiard,,,,,19,SH,5,13,,,,,,,,,,,,,,,
179,23,6,2014,Dgiard,,,,,19,SH,5,14,m,18,,,,,,,,,,,,,
180,23,6,2014,Dgiard,,,,,19,SH,5,15,m,70,,,,,,,,,,,,,
181,23,6,2014,Dgiard,,,,,19,SH,5,16,,,,,,,,,,,,,,,
182,23,6,2014,Dgiard,,,,,19,SH,5,17,f,64,,,,,,,,,,,,,
183,23,6,2014,Dgiard,,,,,19,SH,5,20,f,74,,,,,,,,,,,,,
184,23,6,2014,Dgiard,,,,,19,SH,5,20,m,78,,,,,,,,,,,,,
185,23,6,2014,Bcomeau,,,,,23,SH,6,1,m,106,,,,,,,,,,,,,
186,23,6,2014,Bcomeau,,,,,23,SH,6,1,m,12,,,,,,,,,,,,,
187,23,6,2014,Bcomeau,,,,,23,SH,6,2,m,21,,,,,,,,,,,,,
188,23,6,2014,Bcomeau,,,,,23,SH,6,2,m,46,,,,,,,,,,,,,
189,23,6,2014,Bcomeau,,,,,23,SH,6,2,m,19,,,,,,,,,,,,,
190,23,6,2014,Bcomeau,,,,,23,SH,6,3,,,,,,,,,,,,,,,
191,23,6,2014,Bcomeau,,,,,23,SH,6,4,,,,,,,,,,,,,,,
192,23,6,2014,Bcomeau,,,,,23,SH,6,5,m,37,,,,,,,,,,,,,
193,23,6,2014,Bcomeau,,,,,23,SH,6,5,m,19,,,,,,,,,,,,,
194,23,6,2014,Bcomeau,,,,,23,SH,6,6,m,16,,,,,,,,,,,,,
195,23,6,2014,Bcomeau,,,,,23,SH,6,7,m,36,,,,,,,,,,,,,
