Marker,Jour,Mois,Année,Plongeur,Début - lat.,Début - long.,Fin - lat.,Fin - long.,Depth,Site,Transect,section,sexe,LC,Escape,Sa,Va,Du,Al,Gr,Ca,type,commentaire,fond,,,,,,,,,,,,
37,24,6,2005,Rvienneau,4615.874,6427.864,4615.88,6427.939,27,SH,1,19,m,25,,1,0,1,1,1,1,Simple,,,,,,,,,,,,,,
38,24,6,2005,Rvienneau,4615.874,6427.864,4615.88,6427.939,27,SH,1,19,b,87,,1,0,1,1,1,1,Simple,,,,,,,,,,,,,,
39,24,6,2005,Rvienneau,4615.874,6427.864,4615.88,6427.939,27,SH,1,20,m,52,,1,0,1,1,1,1,Simple,,,,,,,,,,,,,,
40,24,6,2005,Mcomeau,4615.827,6427.875,4615.827,6427.948,25,SH,2,2,,,,0,1,1,1,1,1,Simple,,,,,,,,,,,,,,
41,24,6,2005,Mcomeau,4615.827,6427.875,4615.827,6427.948,24,SH,2,3,,,,0,1,1,1,1,1,Simple,,,,,,,,,,,,,,
42,24,6,2005,Mcomeau,4615.827,6427.875,4615.827,6427.948,23,SH,2,7,,,,0,0,1,1,0,1,Simple,LS,,,,,,,,,,,,,
43,24,6,2005,Mcomeau,4615.827,6427.875,4615.827,6427.948,24,SH,2,10,f,48,,0,0,1,1,0,1,Simple,,,,,,,,,,,,,,
44,24,6,2005,Mcomeau,4615.827,6427.875,4615.827,6427.948,24,SH,2,10,f,75,,0,0,1,1,0,1,Simple,,,,,,,,,,,,,,
45,24,6,2005,Mcomeau,4615.827,6427.875,4615.827,6427.948,24,SH,2,11,,,,0,0,1,1,0,1,Simple,,,,,,,,,,,,,,
46,24,6,2005,Mcomeau,4615.827,6427.875,4615.827,6427.948,24,SH,2,12,,,,0,0,1,1,1,1,Simple,,,,,,,,,,,,,,
47,24,6,2005,Mcomeau,4615.827,6427.875,4615.827,6427.948,24,SH,2,13,f,55,,0,0,1,1,1,1,Simple,,,,,,,,,,,,,,
48,24,6,2005,Mcomeau,4615.827,6427.875,4615.827,6427.948,24,SH,2,13,i,87,Mar,0,0,1,1,1,1,Simple,,,,,,,,,,,,,,
49,24,6,2005,Mcomeau,4615.827,6427.875,4615.827,6427.948,24,SH,2,14,,,,0,0,1,1,1,1,Simple,,,,,,,,,,,,,,
50,24,6,2005,Mcomeau,4615.827,6427.875,4615.827,6427.948,24,SH,2,15,m,80,,0,0,1,1,0,1,Simple,,,,,,,,,,,,,,
51,24,6,2005,Mcomeau,4615.827,6427.875,4615.827,6427.948,24,SH,2,16,,,,0,0,1,1,1,1,Simple,,,,,,,,,,,,,,
52,24,6,2005,Mcomeau,4615.827,6427.875,4615.827,6427.948,24,SH,2,17,i,89,Mar,0,0,1,1,1,1,Simple,4LS,,,,,,,,,,,,,
53,24,6,2005,Mcomeau,4615.827,6427.875,4615.827,6427.948,24,SH,2,18,,,,0,0,1,1,1,1,Simple,LS,,,,,,,,,,,,,
54,24,6,2005,Mcomeau,4615.827,6427.875,4615.827,6427.948,24,SH,2,20,m,48,,0,0,1,1,1,1,Simple,LS,,,,,,,,,,,,,
55,24,6,2005,Gpaulin,4615.827,6427.875,4615.827,6427.948,26,SH,2,2,,,,0,1,1,1,1,1,Simple,LS,,,,,,,,,,,,,
