Marker,Jour,Mois,Année,Plongeur,Début - lat.,Début - long.,Fin - lat.,Fin - long.,Depth,Site,Transect,section,sexe,LC,Escape,Sa,Va,Du,Al,Gr,Co,Ca,type,commentaire,fond,,,,,,,,,
143,21,6,2006,Gpaulin,4615.609,6425.288,4615.599,6425.355,25,RO,2,12,f,52,,1,0,0,0,0,0,1,Simple,,,,,,,,,,,
144,21,6,2006,Gpaulin,4615.609,6425.288,4615.599,6425.355,25,RO,2,13,,,,1,0,0,0,0,0,1,Simple,,,,,,,,,,,
145,21,6,2006,Gpaulin,4615.609,6425.288,4615.599,6425.355,25,RO,2,14,,,,1,0,0,0,0,0,1,Simple,LS,,,,,,,,,,
146,21,6,2006,Gpaulin,4615.609,6425.288,4615.599,6425.355,25,RO,2,15,,,,1,0,0,0,0,0,1,Simple,LS,,,,,,,,,,
147,21,6,2006,Gpaulin,4615.609,6425.288,4615.599,6425.355,25,RO,2,16,m,65,,1,0,0,0,0,0,1,Simple,,,,,,,,,,,
148,21,6,2006,Gpaulin,4615.609,6425.288,4615.599,6425.355,25,RO,2,17,f,45,,1,0,0,0,0,0,1,Simple,,,,,,,,,,,
149,21,6,2006,Gpaulin,4615.609,6425.288,4615.599,6425.355,25,RO,2,18,f,52,,1,0,0,0,0,0,1,Simple,LS,,,,,,,,,,
150,21,6,2006,Gpaulin,4615.609,6425.288,4615.599,6425.355,25,RO,2,19,,,,1,0,0,0,0,0,1,Simple,,,,,,,,,,,
151,21,6,2006,Gpaulin,4615.609,6425.288,4615.599,6425.355,25,RO,2,20,m,128,,1,0,0,0,0,0,1,Simple,,,,,,,,,,,
152,21,6,2006,Rvienneau,4615.609,6425.288,4615.599,6425.355,25,RO,2,1,,,,0,0,1,1,0,1,0,Simple,,,,,,,,,,,
153,21,6,2006,Rvienneau,4615.609,6425.288,4615.599,6425.355,25,RO,2,2,,,,0,0,1,1,0,1,0,Simple,,,,,,,,,,,
154,21,6,2006,Rvienneau,4615.609,6425.288,4615.599,6425.355,25,RO,2,3,,,,0,0,0,0,0,1,1,Simple,LS,,,,,,,,,,
