Marker,Jour,Mois,Année,Plongeur,Début - lat.,Début - long.,Fin - lat.,Fin - long.,Depth,Site,Transect,section,SEX,SIZE,Escape,Sa,Va,Du,Al,Co,Gr,Ca,type,commentaire,fond,
203,25,6,2013,Mcomeau,,,,,,FH,L1-T1,16,,,,,,,,,,,,,,
204,25,6,2013,Mcomeau,,,,,,FH,L1-T1,17,,,,,,,,,,,,,,
205,25,6,2013,Mcomeau,,,,,,FH,L1-T1,18,,,,,,,,,,,,,,
206,25,6,2013,Mcomeau,,,,,,FH,L1-T1,19,b3,108,,,,,,,,,,,,
207,25,6,2013,Mcomeau,,,,,,FH,L1-T1,20,,,,,,,,,,,,,,
208,25,6,2013,Bcomeau,,,,,,FH,L1-T1,1,f,34,,,,,,,,,,,,
209,25,6,2013,Bcomeau,,,,,,FH,L1-T1,2,,,,,,,,,,,,,,
210,25,6,2013,Bcomeau,,,,,,FH,L1-T1,3,,,,,,,,,,,,,,
211,25,6,2013,Bcomeau,,,,,,FH,L1-T1,4,,,,,,,,,,,,,,
212,25,6,2013,Bcomeau,,,,,,FH,L1-T1,5,,,,,,,,,,,,,,
213,25,6,2013,Bcomeau,,,,,,FH,L1-T1,6,,,,,,,,,,,,,,
214,25,6,2013,Bcomeau,,,,,,FH,L1-T1,7,,,,,,,,,,,,,,
215,25,6,2013,Bcomeau,,,,,,FH,L1-T1,8,,,,,,,,,,,,,,
216,25,6,2013,Bcomeau,,,,,,FH,L1-T1,9,,,,,,,,,,,,,,
217,25,6,2013,Bcomeau,,,,,,FH,L1-T1,10,,,,,,,,,,,,,,
218,25,6,2013,Bcomeau,,,,,,FH,L1-T1,11,,,,,,,,,,,,,,
219,25,6,2013,Bcomeau,,,,,,FH,L1-T1,12,,,,,,,,,,,,,,
220,25,6,2013,Bcomeau,,,,,,FH,L1-T1,13,,,,,,,,,,,,,,
221,25,6,2013,Bcomeau,,,,,,FH,L1-T1,14,,,,,,,,,,,,,,
222,25,6,2013,Bcomeau,,,,,,FH,L1-T1,15,,,,,,,,,,,,,,
223,25,6,2013,Bcomeau,,,,,,FH,L1-T1,16,,,,,,,,,,,,,,
224,25,6,2013,Bcomeau,,,,,,FH,L1-T1,17,,,,,,,,,,,,,,
225,25,6,2013,Bcomeau,,,,,,FH,L1-T1,18,,,,,,,,,,,,,,
226,25,6,2013,Bcomeau,,,,,,FH,L1-T1,19,,,,,,,,,,,,,,
227,25,6,2013,Bcomeau,,,,,,FH,L1-T1,20,,,,,,,,,,,,,,
228,25,6,2013,Bcomeau,,,,,,FH,L3-T3,1,,,,,,,,,,,,,,
229,25,6,2013,Bcomeau,,,,,,FH,L3-T3,2,,,,,,,,,,,,,,
230,25,6,2013,Bcomeau,,,,,,FH,L3-T3,3,,,,,,,,,,,,,,
231,25,6,2013,Bcomeau,,,,,,FH,L3-T3,4,,,,,,,,,,,,,,
232,25,6,2013,Bcomeau,,,,,,FH,L3-T3,5,,,,,,,,,,,,,,
233,25,6,2013,Bcomeau,,,,,,FH,L3-T3,6,,,,,,,,,,,,,,
234,25,6,2013,Bcomeau,,,,,,FH,L3-T3,7,m,71,,,,,,,,,,,,
235,25,6,2013,Bcomeau,,,,,,FH,L3-T3,8,,,,,,,,,,,,,,
236,25,6,2013,Bcomeau,,,,,,FH,L3-T3,9,,,,,,,,,,,,,,
237,25,6,2013,Bcomeau,,,,,,FH,L3-T3,10,,,,,,,,,,,,,,
238,25,6,2013,Bcomeau,,,,,,FH,L3-T3,11,,,,,,,,,,,,,,
239,25,6,2013,Bcomeau,,,,,,FH,L3-T3,12,,,,,,,,,,,,,,
240,25,6,2013,Bcomeau,,,,,,FH,L3-T3,13,,,,,,,,,,,,,,
241,25,6,2013,Bcomeau,,,,,,FH,L3-T3,14,,,,,,,,,,,,,,
242,25,6,2013,Bcomeau,,,,,,FH,L3-T3,15,,,,,,,,,,,,,,
243,25,6,2013,Bcomeau,,,,,,FH,L3-T3,16,,,,,,,,,,,,,,
244,25,6,2013,Bcomeau,,,,,,FH,L3-T3,17,i,65,,,,,,,,,,,,
245,25,6,2013,Bcomeau,,,,,,FH,L3-T3,18,,,,,,,,,,,,,,
246,25,6,2013,Bcomeau,,,,,,FH,L3-T3,19,,,,,,,,,,,,,,
